GPST AZ LAT LON
1298964507.921099 275.63466991604554 5959.77743 03017.41772
1298964508.310386 274.47210621430867 5959.77738 03017.41737
1298964508.418282 273.7003078199165 5959.77734 03017.41661
1298964508.800582 273.5511873791113 5959.77738 03017.41625
1298964509.017405 272.35226153689274 5959.77741 03017.41603
1298964509.207335 272.2487631714104 5959.77739 03017.41570
1298964509.442197 271.19183148330563 5959.77740 03017.41532
1298964509.62587 270.86945941044166 5959.77740 03017.41495
1298964509.809699 270.75576208879625 5959.77741 03017.41460
1298964509.883127 270.8499904507538 5959.77741 03017.41421
1298964510.266993 271.56185389929516 5959.77739 03017.41390
1298964510.456657 271.7595012514414 5959.77736 03017.41323
1298964510.690348 272.9171892047143 5959.77742 03017.41284
1298964511.022969 272.2833829735496 5959.77742 03017.41253
1298964511.256745 271.6651465061695 5959.77745 03017.41182
1298964511.597803 268.53562847461563 5959.77742 03017.41145
1298964511.830748 267.8474769641991 5959.77745 03017.41110
1298964512.021996 268.230246750169 5959.77748 03017.41080
1298964512.205697 269.2658728710956 5959.77750 03017.41049
1298964512.27949 270.1793862721186 5959.77746 03017.41022
1298964512.671667 274.1236092870735 5959.77744 03017.40994
1298964512.861121 276.78466013981017 5959.77741 03017.40962
1298964512.928879 276.84556082542673 5959.77739 03017.40930
1298964513.326989 275.34565081191045 5959.77743 03017.40901
1298964513.43484 275.30099664005127 5959.77741 03017.40882
1298964513.620159 273.4455566451846 5959.77734 03017.40852
1298964513.852128 273.9156786018276 5959.77734 03017.40817
1298964514.069002 271.5019272129831 5959.77726 03017.40786
1298964514.258052 271.32978253177623 5959.77728 03017.40757
1298964514.325466 271.4542914100938 5959.77727 03017.40730
1298964514.665975 270.0273061150235 5959.77726 03017.40699
1298964514.849586 270.41357536653277 5959.77729 03017.40674
1298964514.924831 270.33944097970675 5959.77727 03017.40644
1298964515.158472 270.2784345827596 5959.77725 03017.40620
1298964515.499735 273.43713859814113 5959.77725 03017.40598
1298964515.683155 274.39996262791334 5959.77720 03017.40566
1298964515.756783 275.9961267201243 5959.77715 03017.40539
1298964516.14918 275.2719167760654 5959.77708 03017.40506
1298964516.338605 274.99458585369734 5959.77700 03017.40479
1298964516.522281 274.36139332056774 5959.77696 03017.40455
1298964516.705849 273.55425682327376 5959.77692 03017.40423
1298964516.779599 273.6810490670671 5959.77685 03017.40392
1298964517.121462 269.71455933296437 5959.77682 03017.40356
1298964517.304946 268.3645309035485 5959.77671 03017.40324
1298964517.378624 267.694656826312 5959.77662 03017.40291
1298964517.562342 265.7410868761246 5959.77654 03017.40247
1298964517.960977 266.02583990983567 5959.77647 03017.40204
1298964518.144804 268.37875379077593 5959.77647 03017.40166
1298964518.32842 274.8094733090475 5959.77633 03017.40122
1298964518.512005 279.60084493885665 5959.77627 03017.40091
1298964518.701517 281.9941393992354 5959.77627 03017.40051
1298964518.76946 284.2771403865723 5959.77623 03017.40008
1298964519.144476 282.4345140828771 5959.77626 03017.39968
1298964519.333782 277.2893898887589 5959.77615 03017.39937
1298964519.401675 276.0932521279621 5959.77618 03017.39906
1298964519.589545 270.48840350867397 5959.77614 03017.39871
1298964519.982545 265.1865682663881 5959.77612 03017.39832
1298964520.166037 263.1925411838544 5959.77610 03017.39762
1298964520.407136 267.22992074548193 5959.77608 03017.39730
1298964520.748841 268.8952475643848 5959.77606 03017.39695
1298964520.982527 272.2123051089639 5959.77603 03017.39656
1298964521.166142 273.66855382891737 5959.77598 03017.39585
1298964521.355616 275.72272559603186 5959.77600 03017.39557
1298964521.748565 277.19523640660196 5959.77594 03017.39485
1298964521.937981 278.70165017691266 5959.77594 03017.39457
1298964522.330969 274.5974368602944 5959.77593 03017.39423
1298964522.520488 273.5080389921845 5959.77592 03017.39391
1298964522.704091 270.5179507023899 5959.77588 03017.39361
1298964522.937691 271.3453006736394 5959.77587 03017.39330
1298964523.123973 271.39837312869 5959.77584 03017.39275
1298964523.520188 276.53502856493844 5959.77583 03017.39221
1298964523.89504 277.62100060976314 5959.77578 03017.39149
1298964524.0847 275.94300130232784 5959.77581 03017.39104
1298964524.477528 272.00746263195714 5959.77576 03017.39074
1298964524.666979 268.3695668832017 5959.77577 03017.39034
1298964524.734818 267.3470898654068 5959.77575 03017.38991
1298964524.918511 266.5605415367423 5959.77578 03017.38957
1298964525.264792 264.08087341143414 5959.77575 03017.38919
1298964525.498385 265.6260160092226 5959.77582 03017.38884
1298964525.681725 266.90156401220855 5959.77564 03017.38827
1298964526.081994 271.3372630046535 5959.77561 03017.38793
1298964526.265728 272.4756678918637 5959.77548 03017.38717
1298964526.506965 276.22304291977895 5959.77543 03017.38680
1298964526.914785 279.5592435009572 5959.77534 03017.38644
1298964527.124816 278.37054582915 5959.77531 03017.38613
1298964527.312767 276.28537992200205 5959.77524 03017.38571
1298964527.55613 274.8566845717289 5959.77521 03017.38510
1298964527.91251 271.61764767257125 5959.77518 03017.38470
1298964528.161477 268.6629474240782 5959.77518 03017.38438
1298964528.352788 268.7747265399671 5959.77512 03017.38374
1298964528.585005 270.90509369762714 5959.77509 03017.38341
1298964528.926152 275.6727401958337 5959.77500 03017.38302
1298964529.142963 276.2499743017609 5959.77500 03017.38270
1298964529.216798 276.0687876633886 5959.77498 03017.38227
1298964529.401776 276.27684876100494 5959.77494 03017.38211
1298964529.742874 273.2188809955751 5959.77490 03017.38175
1298964529.976539 270.7800740445724 5959.77488 03017.38130
1298964530.160538 269.3355015361758 5959.77486 03017.38102
1298964530.241515 268.0651194846716 5959.77481 03017.38057
1298964530.5846 268.9942092070712 5959.77475 03017.38030
1298964530.772692 268.7762705676565 5959.77474 03017.38001
1298964530.840236 269.0666330476865 5959.77462 03017.37960
1298964531.031617 268.85452562418186 5959.77458 03017.37922
1298964531.440821 271.0242808452496 5959.77451 03017.37882
1298964531.632175 271.9605527197982 5959.77451 03017.37855
1298964531.815824 273.37122741624114 5959.77448 03017.37822
1298964532.007162 274.00956697200314 5959.77442 03017.37784
1298964532.206236 273.6512321065706 5959.77439 03017.37754
1298964532.455201 274.02697592862944 5959.77432 03017.37691
1298964532.805855 271.60092630152604 5959.77433 03017.37660
1298964533.004933 268.9250868933284 5959.77431 03017.37626
1298964533.080616 267.59935363772377 5959.77430 03017.37594
1298964533.436968 264.5458607076569 5959.77428 03017.37564
1298964533.685909 262.79436396873894 5959.77428 03017.37498
1298964533.877405 263.58146128184245 5959.77422 03017.37469
